LebwohlLasher_nb.py: Size: 100, Steps: 50, T*: 0.500: Order: 0.269, Time: 1.420271 s
         2947995 function calls (2834084 primitive calls) in 1.423 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17677    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
23353/23152    0.002    0.000    0.009    0.000 {built-in method builtins.hasattr}
22531/22063    0.002    0.000    0.005    0.000 {built-in method builtins.repr}
      837    0.002    0.000    0.002    0.000 {built-in method posix.stat}
  258/256    0.002    0.000    0.070    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/types/functions.py:281(get_call_type)
      210    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     2224    0.002    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/base.py:352(install_registry)
       50    0.002    0.000    0.002    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
    24/21    0.002    0.000    0.019    0.001 {built-in method _imp.exec_dynamic}
      266    0.002    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/np/numpy_support.py:357(ufunc_find_matching_loop)
    17344    0.002    0.000    0.007    0.000 <frozen abc>:117(__instancecheck__)
     6870    0.002    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/event.py:209(broadcast)
7407/7342    0.002    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/_utils.py:54(get_reference)
    18336    0.002    0.000    0.005    0.000 {built-in method builtins.issubclass}
      246    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/typing/templates.py:1158(make_overload_attribute_template)
       82    0.002    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/analysis.py:118(compute_dead_maps)
     2476    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/np/numpy_support.py:339(ufunc_can_cast)
    22877    0.002    0.000    0.002    0.000 {method 'write' of '_io.StringIO' objects}
      719    0.002    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/utils.py:346(order_by_target_specificity)
      278    0.002    0.000    0.126    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/cpu.py:60(load_additional_registries)
     2825    0.002    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/instructions.py:13(__init__)
       27    0.002    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/postproc.py:179(_patch_var_dels)
        1    0.002    0.002    0.002    0.002 {built-in method _posixsubprocess.fork_exec}
      155    0.002    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/typing/context.py:636(resolve_overload)
     3435    0.002    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/event.py:404(end_event)
      186    0.002    0.000    0.003    0.000 {built-in method _io.open}
     3435    0.001    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/event.py:390(start_event)
      124    0.001    0.000    0.001    0.000 {built-in method numpy.array}
    16661    0.001    0.000    0.002    0.000 {method 'add' of 'set' objects}
     3686    0.001    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/_utils.py:24(deduplicate)
     1556    0.001    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/types/functions.py:245(__init__)
    32271    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pprint.py:95(__lt__)
     8075    0.001    0.000    0.032    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/ir.py:351(list_vars)
      204    0.001    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numpy/core/numeric.py:1129(roll)
     1380    0.001    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/typing/context.py:586(_rate_arguments)
      637    0.001    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/targetconfig.py:196(values)
    15866    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
2249/2242    0.001    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/types/abstract.py:61(__call__)
      219    0.001    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/analysis.py:81(def_reach)
      268    0.001    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/inspect.py:2368(_signature_from_function)
  600/130    0.001    0.000    0.292    0.002 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/lowering.py:442(lower_inst)
     3566    0.001    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/target_extension.py:53(get_local_target)
      210    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
