#=====================================================
# File created:        Thu-10-Oct-2024-at-05-13-06PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.862036
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10095.9972  0.2581 
   00001    0.6601  -13211.7053  0.2652 
   00002    0.5996  -15451.4333  0.2662 
   00003    0.5417  -16962.9390  0.2619 
   00004    0.5047  -18047.9083  0.2616 
   00005    0.5101  -19105.6035  0.2583 
   00006    0.4798  -19784.7158  0.2606 
   00007    0.4773  -20471.1138  0.2603 
   00008    0.4534  -20929.2800  0.2566 
   00009    0.4517  -21198.3131  0.2646 
   00010    0.4423  -21552.1872  0.2591 
   00011    0.4316  -21965.1474  0.2580 
   00012    0.4210  -22389.4833  0.2572 
   00013    0.4190  -22676.2008  0.2588 
   00014    0.4106  -22972.5636  0.2631 
   00015    0.3900  -23179.0983  0.2624 
   00016    0.4106  -23390.1352  0.2642 
   00017    0.3949  -23461.1430  0.2657 
   00018    0.3954  -23708.1924  0.2686 
   00019    0.3988  -23820.0007  0.2696 
   00020    0.3987  -23930.0402  0.2689 
   00021    0.3837  -24038.7777  0.2680 
   00022    0.3962  -24207.4092  0.2699 
   00023    0.3918  -24335.9303  0.2711 
   00024    0.3801  -24507.2821  0.2718 
   00025    0.3688  -24565.6595  0.2742 
   00026    0.3883  -24766.0143  0.2735 
   00027    0.3790  -24750.8830  0.2728 
   00028    0.3806  -24690.6138  0.2729 
   00029    0.3734  -24813.2459  0.2742 
   00030    0.3699  -24743.8074  0.2746 
   00031    0.3886  -24952.5608  0.2765 
   00032    0.3781  -25100.2526  0.2795 
   00033    0.3673  -25141.0988  0.2783 
   00034    0.3628  -25165.2638  0.2821 
   00035    0.3536  -25224.0888  0.2793 
   00036    0.3621  -25227.7147  0.2796 
   00037    0.3766  -25463.3986  0.2784 
   00038    0.3651  -25491.1718  0.2786 
   00039    0.3670  -25465.8461  0.2762 
   00040    0.3600  -25496.7356  0.2760 
   00041    0.3721  -25491.5241  0.2728 
   00042    0.3623  -25501.7166  0.2749 
   00043    0.3712  -25491.3789  0.2759 
   00044    0.3567  -25473.6059  0.2776 
   00045    0.3590  -25600.6551  0.2760 
   00046    0.3534  -25677.8190  0.2771 
   00047    0.3559  -25677.1682  0.2739 
   00048    0.3549  -25846.6343  0.2737 
   00049    0.3366  -25975.0425  0.2745 
   00050    0.3573  -26070.5518  0.2758 
