#=====================================================
# File created:        Thu-10-Oct-2024-at-05-21-26PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        6.422947
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9861.0922  0.2573 
   00001    0.6861  -14785.1285  0.2603 
   00002    0.6209  -17904.5648  0.2589 
   00003    0.5860  -20102.2848  0.2585 
   00004    0.5652  -21818.3356  0.2610 
   00005    0.5371  -23248.2081  0.2627 
   00006    0.5223  -24478.6565  0.2671 
   00007    0.5076  -25298.3796  0.2657 
   00008    0.5051  -26162.9649  0.2713 
   00009    0.4875  -26863.7479  0.2700 
   00010    0.4869  -27391.7362  0.2719 
   00011    0.4722  -27928.8438  0.2750 
   00012    0.4718  -28452.4548  0.2765 
   00013    0.4600  -28737.2414  0.2716 
   00014    0.4687  -29054.7556  0.2748 
   00015    0.4611  -29279.4564  0.2729 
   00016    0.4541  -29570.4191  0.2695 
   00017    0.4606  -29790.2127  0.2690 
   00018    0.4493  -30094.4367  0.2724 
   00019    0.4430  -30146.7081  0.2713 
   00020    0.4546  -30390.9342  0.2722 
   00021    0.4430  -30610.4269  0.2685 
   00022    0.4407  -30677.0783  0.2670 
   00023    0.4389  -30820.0705  0.2677 
   00024    0.4419  -30960.4937  0.2675 
   00025    0.4408  -31064.1868  0.2693 
   00026    0.4390  -31149.0306  0.2693 
   00027    0.4379  -31330.3023  0.2734 
   00028    0.4352  -31422.1890  0.2748 
   00029    0.4381  -31501.3209  0.2753 
   00030    0.4368  -31579.2567  0.2788 
   00031    0.4347  -31647.2407  0.2787 
   00032    0.4315  -31746.4518  0.2808 
   00033    0.4439  -31741.2588  0.2796 
   00034    0.4334  -31792.3721  0.2764 
   00035    0.4206  -31881.0572  0.2758 
   00036    0.4404  -31974.9885  0.2719 
   00037    0.4371  -31974.1884  0.2672 
   00038    0.4298  -32067.1658  0.2678 
   00039    0.4291  -32162.1159  0.2708 
   00040    0.4269  -32126.9172  0.2761 
   00041    0.4388  -32106.7619  0.2747 
   00042    0.4328  -32127.2189  0.2740 
   00043    0.4224  -32272.4394  0.2730 
   00044    0.4290  -32352.5930  0.2742 
   00045    0.4258  -32369.7890  0.2752 
   00046    0.4271  -32389.3151  0.2731 
   00047    0.4293  -32376.9573  0.2720 
   00048    0.4242  -32468.2964  0.2742 
   00049    0.4292  -32479.3377  0.2750 
   00050    0.4205  -32508.3294  0.2734 
