#=====================================================
# File created:        Thu-10-Oct-2024-at-05-18-29PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.048319
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -94.6692  0.3474 
   00001    0.5700    -127.2347  0.3427 
   00002    0.6100    -130.4570  0.3475 
   00003    0.6000    -159.3206  0.3906 
   00004    0.6500    -167.5505  0.3901 
   00005    0.5300    -167.3392  0.4210 
   00006    0.5100    -180.5062  0.4294 
   00007    0.5100    -197.2043  0.4364 
   00008    0.5200    -204.7284  0.4378 
   00009    0.4000    -210.7606  0.4423 
   00010    0.4900    -209.1927  0.4409 
   00011    0.4400    -205.4869  0.4160 
   00012    0.4000    -198.2732  0.4372 
   00013    0.6000    -212.9663  0.4600 
   00014    0.5500    -213.4745  0.4537 
   00015    0.5000    -206.1036  0.4258 
   00016    0.3700    -201.5814  0.4474 
   00017    0.5600    -200.6802  0.4545 
   00018    0.4800    -202.1816  0.4396 
   00019    0.6100    -213.0396  0.4290 
   00020    0.4500    -217.2146  0.3848 
   00021    0.3100    -214.9220  0.4177 
   00022    0.5100    -224.9792  0.3904 
   00023    0.4100    -229.3275  0.4121 
   00024    0.4500    -220.2481  0.3504 
   00025    0.4800    -218.0572  0.3529 
   00026    0.5100    -236.9822  0.3983 
   00027    0.3000    -228.5323  0.4024 
   00028    0.4000    -228.8045  0.4259 
   00029    0.4900    -239.2302  0.4273 
   00030    0.3400    -247.3177  0.4256 
   00031    0.4300    -244.4711  0.4537 
   00032    0.4000    -239.2721  0.4732 
   00033    0.4800    -246.9596  0.4544 
   00034    0.3300    -244.0800  0.4216 
   00035    0.4300    -237.7984  0.4412 
   00036    0.4000    -248.6523  0.4408 
   00037    0.3300    -246.1645  0.4072 
   00038    0.3500    -255.1789  0.4037 
   00039    0.3000    -245.0399  0.4175 
   00040    0.5000    -228.5695  0.4199 
   00041    0.4000    -220.9632  0.3876 
   00042    0.4600    -225.3903  0.3752 
   00043    0.4900    -240.9240  0.4023 
   00044    0.4200    -236.8981  0.3825 
   00045    0.3200    -248.9228  0.4224 
   00046    0.4400    -240.8632  0.4523 
   00047    0.5200    -254.2466  0.4622 
   00048    0.3700    -247.9116  0.4517 
   00049    0.3100    -228.4138  0.4240 
   00050    0.3500    -221.7000  0.4608 
