#=====================================================
# File created:        Thu-10-Oct-2024-at-05-14-40PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.685943
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10151.5724  0.2536 
   00001    0.6609  -13916.6725  0.2624 
   00002    0.6254  -16141.8026  0.2563 
   00003    0.5774  -17285.7054  0.2533 
   00004    0.5619  -18101.5611  0.2552 
   00005    0.5579  -18807.5083  0.2568 
   00006    0.5513  -19156.6816  0.2578 
   00007    0.5585  -19364.5141  0.2540 
   00008    0.5456  -19499.8108  0.2551 
   00009    0.5336  -19735.7176  0.2586 
   00010    0.5385  -19974.9334  0.2582 
   00011    0.5369  -19932.3564  0.2578 
   00012    0.5362  -20132.2696  0.2551 
   00013    0.5319  -19971.4064  0.2511 
   00014    0.5236  -20114.3159  0.2561 
   00015    0.5267  -20105.3601  0.2523 
   00016    0.5358  -20125.8749  0.2580 
   00017    0.5299  -20247.6019  0.2549 
   00018    0.5319  -20159.9520  0.2579 
   00019    0.5283  -20200.5556  0.2583 
   00020    0.5412  -20104.2459  0.2557 
   00021    0.5295  -20056.9766  0.2536 
   00022    0.5394  -19968.4112  0.2613 
   00023    0.5373  -20066.7810  0.2581 
   00024    0.5395  -20103.2416  0.2617 
   00025    0.5357  -20042.5258  0.2673 
   00026    0.5415  -20085.0120  0.2664 
   00027    0.5301  -20012.5181  0.2657 
   00028    0.5369  -20129.4163  0.2628 
   00029    0.5249  -19994.5486  0.2630 
   00030    0.5298  -19935.9580  0.2677 
   00031    0.5270  -20022.3164  0.2677 
   00032    0.5343  -19981.9572  0.2702 
   00033    0.5319  -20051.5530  0.2769 
   00034    0.5250  -19898.4551  0.2746 
   00035    0.5460  -19877.0027  0.2736 
   00036    0.5295  -19996.5204  0.2705 
   00037    0.5339  -20191.6002  0.2736 
   00038    0.5351  -20230.6010  0.2660 
   00039    0.5283  -20055.0302  0.2660 
   00040    0.5315  -20157.0522  0.2650 
   00041    0.5386  -20040.2319  0.2652 
   00042    0.5323  -19921.2853  0.2612 
   00043    0.5311  -19999.2305  0.2575 
   00044    0.5205  -19918.4864  0.2533 
   00045    0.5481  -20425.7542  0.2560 
   00046    0.5191  -20334.7793  0.2587 
   00047    0.5237  -20211.3019  0.2587 
   00048    0.5308  -20296.8348  0.2579 
   00049    0.5332  -20310.6876  0.2520 
   00050    0.5402  -20332.0447  0.2512 
