#=====================================================
# File created:        Thu-10-Oct-2024-at-11-48-36PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.008764
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -72.3536  0.2877 
   00001    0.7300    -123.3191  0.3305 
   00002    0.7400    -164.9111  0.3529 
   00003    0.6300    -190.6707  0.3954 
   00004    0.4900    -199.1146  0.3796 
   00005    0.5200    -226.7853  0.4041 
   00006    0.5500    -238.5369  0.3505 
   00007    0.5800    -253.3807  0.3615 
   00008    0.4300    -264.0264  0.3231 
   00009    0.4700    -270.1942  0.3302 
   00010    0.4500    -271.0378  0.3681 
   00011    0.6000    -275.8403  0.4157 
   00012    0.4100    -277.9755  0.4368 
   00013    0.4000    -273.7095  0.4760 
   00014    0.4300    -276.1252  0.4573 
   00015    0.5200    -282.5480  0.5170 
   00016    0.4400    -281.7542  0.5115 
   00017    0.4500    -286.0082  0.5510 
   00018    0.4800    -293.3432  0.5780 
   00019    0.4300    -294.7478  0.6048 
   00020    0.4300    -307.4593  0.6266 
   00021    0.4800    -307.1125  0.6220 
   00022    0.4700    -310.6458  0.6394 
   00023    0.3700    -316.6308  0.6504 
   00024    0.3900    -316.6755  0.6722 
   00025    0.5400    -309.3812  0.6993 
   00026    0.3200    -312.0810  0.6895 
   00027    0.4900    -308.2920  0.6943 
   00028    0.4000    -316.6747  0.7023 
   00029    0.4400    -312.3199  0.6984 
   00030    0.5200    -310.7078  0.7013 
   00031    0.3900    -317.4262  0.7636 
   00032    0.3900    -319.5206  0.7720 
   00033    0.4500    -318.3916  0.7875 
   00034    0.4100    -326.8745  0.7931 
   00035    0.3900    -327.0882  0.7991 
   00036    0.3100    -330.7474  0.8037 
   00037    0.4100    -324.9099  0.7897 
   00038    0.4000    -320.8763  0.7831 
   00039    0.4100    -321.8236  0.7883 
   00040    0.4500    -315.5959  0.7906 
   00041    0.4900    -325.7376  0.8123 
   00042    0.4500    -319.3578  0.8108 
   00043    0.3400    -331.8010  0.8351 
   00044    0.4900    -330.3282  0.8153 
   00045    0.3500    -334.7184  0.8179 
   00046    0.3600    -336.7416  0.8311 
   00047    0.4100    -331.0621  0.8424 
   00048    0.3600    -333.9357  0.8228 
   00049    0.4100    -332.6267  0.8435 
   00050    0.3800    -337.2940  0.8456 
