#=====================================================
# File created:        Thu-24-Oct-2024-at-02-10-34PM
# Size of lattice:     1x1
# Number of MC steps:  50
# Reduced temperature: 0.500
# Number of threads:   12
# Run time (s):        0.056442
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000      -4.0000  2.4967 
   00001    1.0000      -4.0000  1.1513 
   00002    1.0000      -4.0000  1.0159 
   00003    1.0000      -4.0000  1.3721 
   00004    1.0000      -4.0000  1.4549 
   00005    1.0000      -4.0000  1.2855 
   00006    1.0000      -4.0000  1.3076 
   00007    1.0000      -4.0000  1.0000 
   00008    1.0000      -4.0000  1.0193 
   00009    1.0000      -4.0000  2.4348 
   00010    1.0000      -4.0000  1.1355 
   00011    1.0000      -4.0000  1.3056 
   00012    1.0000      -4.0000  1.1516 
   00013    1.0000      -4.0000  1.0026 
   00014    1.0000      -4.0000  1.3746 
   00015    1.0000      -4.0000  1.0067 
   00016    1.0000      -4.0000  1.0745 
   00017    1.0000      -4.0000  2.1756 
   00018    1.0000      -4.0000  1.3131 
   00019    1.0000      -4.0000  1.0684 
   00020    1.0000      -4.0000  1.2534 
   00021    1.0000      -4.0000  1.0242 
   00022    1.0000      -4.0000  2.2451 
   00023    1.0000      -4.0000  1.0001 
   00024    1.0000      -4.0000  1.1116 
   00025    1.0000      -4.0000  1.0592 
   00026    1.0000      -4.0000  2.4321 
   00027    1.0000      -4.0000  1.4694 
   00028    1.0000      -4.0000  1.0001 
   00029    1.0000      -4.0000  1.2325 
   00030    1.0000      -4.0000  1.1370 
   00031    1.0000      -4.0000  1.0066 
   00032    1.0000      -4.0000  2.4461 
   00033    1.0000      -4.0000  2.4957 
   00034    1.0000      -4.0000  2.4941 
   00035    1.0000      -4.0000  2.4571 
   00036    1.0000      -4.0000  2.4306 
   00037    1.0000      -4.0000  2.2571 
   00038    1.0000      -4.0000  2.0428 
   00039    1.0000      -4.0000  1.4710 
   00040    1.0000      -4.0000  1.0032 
   00041    1.0000      -4.0000  1.7502 
   00042    1.0000      -4.0000  1.0076 
   00043    1.0000      -4.0000  1.0245 
   00044    1.0000      -4.0000  2.4796 
   00045    1.0000      -4.0000  2.4985 
   00046    1.0000      -4.0000  2.4622 
   00047    1.0000      -4.0000  1.0663 
   00048    1.0000      -4.0000  1.9469 
   00049    1.0000      -4.0000  2.4848 
   00050    1.0000      -4.0000  1.3482 
