#=====================================================
# File created:        Thu-24-Oct-2024-at-02-10-28PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Number of threads:   6
# Run time (s):        0.027202
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -126.6402  0.3563 
   00001    0.6300    -151.8038  0.3414 
   00002    0.5900    -171.1506  0.3359 
   00003    0.5800    -179.4036  0.3484 
   00004    0.6000    -203.9460  0.3040 
   00005    0.5600    -220.8389  0.2742 
   00006    0.5100    -228.6421  0.3196 
   00007    0.4600    -233.5298  0.3205 
   00008    0.6400    -248.7210  0.3302 
   00009    0.5100    -246.5577  0.3241 
   00010    0.5800    -246.3142  0.3312 
   00011    0.5600    -256.5310  0.3190 
   00012    0.5400    -276.9502  0.3455 
   00013    0.4500    -281.9645  0.3150 
   00014    0.5100    -284.4827  0.4063 
   00015    0.4900    -263.0796  0.4016 
   00016    0.4800    -270.8328  0.4059 
   00017    0.5000    -271.0080  0.4349 
   00018    0.5000    -281.5121  0.4600 
   00019    0.4600    -290.4362  0.4427 
   00020    0.4100    -277.6884  0.4535 
   00021    0.4000    -281.4804  0.4515 
   00022    0.4700    -288.7303  0.4668 
   00023    0.4500    -273.6994  0.4901 
   00024    0.4500    -288.3584  0.5006 
   00025    0.4500    -296.9889  0.5199 
   00026    0.4600    -307.5061  0.5319 
   00027    0.4400    -302.4731  0.5535 
   00028    0.4500    -303.7380  0.5645 
   00029    0.4200    -305.2051  0.5922 
   00030    0.5100    -305.2673  0.5708 
   00031    0.4400    -301.8822  0.5952 
   00032    0.3500    -302.8490  0.5845 
   00033    0.4300    -304.6228  0.6511 
   00034    0.4700    -302.6874  0.6273 
   00035    0.4400    -303.6168  0.6072 
   00036    0.4900    -306.7962  0.6842 
   00037    0.5100    -300.5224  0.6636 
   00038    0.3900    -299.4009  0.6904 
   00039    0.3800    -306.0139  0.6562 
   00040    0.5100    -311.1102  0.6542 
   00041    0.4800    -319.8700  0.7349 
   00042    0.4000    -328.9559  0.7364 
   00043    0.4500    -318.9503  0.7365 
   00044    0.4800    -332.7884  0.7334 
   00045    0.4300    -321.9717  0.7334 
   00046    0.4600    -332.2609  0.7541 
   00047    0.3600    -339.9231  0.7734 
   00048    0.5000    -345.0886  0.7675 
   00049    0.4200    -343.2290  0.7564 
   00050    0.4400    -340.5532  0.7882 
