#=====================================================
# File created:        Thu-24-Oct-2024-at-01-57-48PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.058484
# Number of threads:   12
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -98.1026  0.2660 
   00001    0.6500    -143.8139  0.3409 
   00002    0.6200    -167.0714  0.3855 
   00003    0.6600    -190.3544  0.3542 
   00004    0.5200    -219.8277  0.3755 
   00005    0.5800    -236.1211  0.3637 
   00006    0.5600    -248.0760  0.4199 
   00007    0.4600    -243.4244  0.4163 
   00008    0.6100    -244.9679  0.4667 
   00009    0.4500    -252.4641  0.4967 
   00010    0.4700    -260.2381  0.5217 
   00011    0.4200    -255.6093  0.5267 
   00012    0.5000    -266.1339  0.4560 
   00013    0.4400    -269.9832  0.5218 
   00014    0.4600    -273.5438  0.5442 
   00015    0.4600    -271.6507  0.5524 
   00016    0.5000    -282.3507  0.5690 
   00017    0.4500    -280.7961  0.5706 
   00018    0.4900    -284.2153  0.6187 
   00019    0.4800    -296.0118  0.6409 
   00020    0.4100    -301.1863  0.6328 
   00021    0.4700    -302.3024  0.6346 
   00022    0.4900    -300.0009  0.6554 
   00023    0.3800    -297.6271  0.6544 
   00024    0.5500    -299.2287  0.6705 
   00025    0.3300    -302.4302  0.6800 
   00026    0.3800    -304.4113  0.6375 
   00027    0.5000    -313.5653  0.6545 
   00028    0.4300    -322.4079  0.6794 
   00029    0.3800    -325.0091  0.6932 
   00030    0.4600    -319.5557  0.7118 
   00031    0.4100    -317.5539  0.7095 
   00032    0.4600    -326.9534  0.7464 
   00033    0.4000    -330.4672  0.7465 
   00034    0.5100    -320.6039  0.7568 
   00035    0.4400    -324.1066  0.7616 
   00036    0.4100    -323.7852  0.7641 
   00037    0.4500    -324.3536  0.7610 
   00038    0.4900    -323.2767  0.7593 
   00039    0.4600    -324.5304  0.7835 
   00040    0.4000    -329.0359  0.7846 
   00041    0.3600    -328.5832  0.7614 
   00042    0.3900    -336.2616  0.7730 
   00043    0.3500    -343.8803  0.7941 
   00044    0.3700    -341.3343  0.7969 
   00045    0.4400    -337.8431  0.7312 
   00046    0.4000    -331.1802  0.7787 
   00047    0.4500    -325.3863  0.7556 
   00048    0.3800    -310.0302  0.7632 
   00049    0.4800    -319.2747  0.7003 
   00050    0.4100    -324.4863  0.8093 
