#=====================================================
# File created:        Thu-24-Oct-2024-at-02-10-36PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Number of threads:   12
# Run time (s):        0.082160
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9850.0513  0.1929 
   00001    0.6903  -14952.9572  0.1954 
   00002    0.6227  -18081.3045  0.1993 
   00003    0.5780  -20443.8783  0.2199 
   00004    0.5551  -22139.8830  0.1551 
   00005    0.5376  -23484.9038  0.1740 
   00006    0.5149  -24554.0596  0.1736 
   00007    0.5176  -25326.9346  0.1627 
   00008    0.5025  -25994.5228  0.1687 
   00009    0.4890  -26832.9931  0.2255 
   00010    0.4850  -27259.1643  0.2020 
   00011    0.4788  -27853.3141  0.2265 
   00012    0.4762  -28211.5264  0.1955 
   00013    0.4664  -28696.1602  0.1866 
   00014    0.4515  -29097.0016  0.1898 
   00015    0.4612  -29398.7263  0.1850 
   00016    0.4602  -29545.9413  0.2358 
   00017    0.4551  -29731.5120  0.1827 
   00018    0.4594  -29879.3909  0.1870 
   00019    0.4628  -30167.6853  0.2112 
   00020    0.4467  -30330.5668  0.2022 
   00021    0.4506  -30448.7461  0.2010 
   00022    0.4417  -30488.2492  0.1967 
   00023    0.4471  -30589.9125  0.2039 
   00024    0.4456  -30770.9677  0.1813 
   00025    0.4369  -31016.1388  0.1943 
   00026    0.4446  -31020.7131  0.1737 
   00027    0.4452  -31235.3031  0.2170 
   00028    0.4263  -31435.6674  0.2004 
   00029    0.4443  -31529.9973  0.2395 
   00030    0.4418  -31554.1478  0.1679 
   00031    0.4394  -31525.7453  0.1998 
   00032    0.4361  -31591.9944  0.1815 
   00033    0.4322  -31646.8944  0.1932 
   00034    0.4394  -31752.6672  0.2599 
   00035    0.4252  -31833.9088  0.1895 
   00036    0.4356  -31866.6210  0.1985 
   00037    0.4260  -31973.9476  0.2068 
   00038    0.4294  -31994.5736  0.1932 
   00039    0.4308  -32133.0079  0.2273 
   00040    0.4368  -32025.6939  0.2309 
   00041    0.4313  -32031.4948  0.2017 
   00042    0.4275  -32154.5520  0.2349 
   00043    0.4253  -32177.5557  0.2210 
   00044    0.4223  -32215.3336  0.2030 
   00045    0.4351  -32192.9715  0.2237 
   00046    0.4245  -32190.7398  0.1841 
   00047    0.4376  -32194.7074  0.2083 
   00048    0.4201  -32270.0105  0.2194 
   00049    0.4413  -32130.6961  0.1918 
   00050    0.4331  -32214.8668  0.2084 
