#=====================================================
# File created:        Thu-24-Oct-2024-at-01-56-50PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.002611
# Number of threads:   1
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -101.3303  0.3164 
   00001    0.6900    -150.9197  0.3431 
   00002    0.6100    -189.0527  0.4297 
   00003    0.5500    -202.0741  0.3968 
   00004    0.5500    -224.1105  0.3751 
   00005    0.5700    -238.3819  0.3681 
   00006    0.5100    -257.9737  0.3644 
   00007    0.5700    -261.1616  0.4391 
   00008    0.5600    -273.2630  0.4313 
   00009    0.4600    -278.1257  0.4819 
   00010    0.4900    -290.4410  0.4856 
   00011    0.4700    -295.3120  0.4643 
   00012    0.4800    -296.6288  0.4850 
   00013    0.4700    -297.1915  0.4543 
   00014    0.4000    -293.0591  0.4346 
   00015    0.4400    -290.5799  0.4549 
   00016    0.5600    -286.1980  0.4600 
   00017    0.4300    -299.7968  0.4786 
   00018    0.3400    -303.8951  0.4467 
   00019    0.4200    -303.3854  0.4238 
   00020    0.4200    -294.5124  0.4662 
   00021    0.5100    -293.6936  0.5043 
   00022    0.4300    -293.8955  0.4855 
   00023    0.4300    -298.7330  0.4292 
   00024    0.4300    -296.9821  0.4152 
   00025    0.3800    -302.2109  0.4232 
   00026    0.4900    -307.6994  0.4270 
   00027    0.5000    -306.0838  0.4461 
   00028    0.4500    -306.1906  0.4413 
   00029    0.4100    -302.0833  0.4646 
   00030    0.4000    -303.2110  0.4828 
   00031    0.4800    -304.4232  0.4839 
   00032    0.4600    -299.2636  0.4612 
   00033    0.4700    -295.0230  0.4301 
   00034    0.4100    -292.0286  0.4332 
   00035    0.4500    -290.7227  0.4367 
   00036    0.4400    -295.6057  0.4371 
   00037    0.4400    -302.0426  0.4353 
   00038    0.5500    -299.7594  0.4512 
   00039    0.4900    -301.0350  0.4086 
   00040    0.4700    -305.5960  0.4161 
   00041    0.4600    -296.3423  0.3922 
   00042    0.5300    -300.2311  0.3904 
   00043    0.5200    -290.0315  0.4072 
   00044    0.5100    -293.3558  0.4231 
   00045    0.5100    -308.2584  0.4341 
   00046    0.3900    -313.5451  0.4551 
   00047    0.3500    -313.4748  0.4623 
   00048    0.3700    -316.4904  0.5136 
   00049    0.3400    -307.6542  0.5093 
   00050    0.4400    -319.2191  0.5372 
