#=====================================================
# File created:        Thu-24-Oct-2024-at-01-56-53PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.077232
# Number of threads:   1
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10182.9624  0.2591 
   00001    0.6750  -15180.8308  0.2530 
   00002    0.6172  -18298.3086  0.2546 
   00003    0.5754  -20467.6972  0.2560 
   00004    0.5562  -22178.7153  0.2527 
   00005    0.5295  -23407.4812  0.2526 
   00006    0.5217  -24415.6420  0.2582 
   00007    0.5132  -25317.3566  0.2563 
   00008    0.4980  -26053.3587  0.2517 
   00009    0.4851  -26835.6701  0.2549 
   00010    0.4898  -27305.2383  0.2562 
   00011    0.4824  -27823.7239  0.2552 
   00012    0.4738  -28277.9773  0.2589 
   00013    0.4679  -28686.9007  0.2639 
   00014    0.4565  -28972.6401  0.2728 
   00015    0.4634  -29173.0135  0.2706 
   00016    0.4594  -29526.6888  0.2710 
   00017    0.4520  -29702.6205  0.2711 
   00018    0.4497  -29848.9219  0.2729 
   00019    0.4548  -30015.1214  0.2756 
   00020    0.4535  -30259.5125  0.2750 
   00021    0.4468  -30381.6252  0.2767 
   00022    0.4534  -30584.1185  0.2763 
   00023    0.4497  -30675.0292  0.2773 
   00024    0.4352  -30770.8608  0.2778 
   00025    0.4429  -30860.9331  0.2780 
   00026    0.4372  -31006.1349  0.2756 
   00027    0.4445  -31118.9789  0.2751 
   00028    0.4418  -31219.3788  0.2769 
   00029    0.4331  -31315.2713  0.2766 
   00030    0.4367  -31405.5599  0.2790 
   00031    0.4360  -31507.9751  0.2831 
   00032    0.4245  -31574.5305  0.2854 
   00033    0.4290  -31667.4760  0.2858 
   00034    0.4439  -31714.0208  0.2856 
   00035    0.4288  -31771.1783  0.2875 
   00036    0.4343  -31778.5351  0.2838 
   00037    0.4327  -31892.8971  0.2835 
   00038    0.4257  -32041.6237  0.2855 
   00039    0.4334  -32043.6972  0.2825 
   00040    0.4307  -32085.9182  0.2846 
   00041    0.4329  -32125.8649  0.2833 
   00042    0.4295  -32150.5273  0.2794 
   00043    0.4379  -32084.7055  0.2760 
   00044    0.4225  -32092.0169  0.2779 
   00045    0.4389  -32017.2801  0.2758 
   00046    0.4324  -32039.5746  0.2755 
   00047    0.4324  -32205.6887  0.2759 
   00048    0.4333  -32137.7809  0.2793 
   00049    0.4290  -32244.1315  0.2795 
   00050    0.4237  -32259.6945  0.2803 
