#=====================================================
# File created:        Thu-24-Oct-2024-at-01-57-53PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.082176
# Number of threads:   12
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9873.8842  0.2181 
   00001    0.6832  -14897.3095  0.1967 
   00002    0.6277  -18157.7647  0.2281 
   00003    0.5738  -20495.6684  0.2151 
   00004    0.5534  -22300.7649  0.1741 
   00005    0.5282  -23597.5890  0.2020 
   00006    0.5235  -24667.6139  0.1650 
   00007    0.5027  -25517.7916  0.1706 
   00008    0.5021  -26306.4967  0.2208 
   00009    0.4831  -26992.8160  0.2191 
   00010    0.4868  -27638.6571  0.1614 
   00011    0.4834  -28115.9188  0.1175 
   00012    0.4733  -28554.7964  0.1562 
   00013    0.4571  -29010.9745  0.2059 
   00014    0.4669  -29362.4986  0.2281 
   00015    0.4521  -29609.8013  0.2007 
   00016    0.4619  -29785.6095  0.1934 
   00017    0.4501  -29981.5717  0.2053 
   00018    0.4479  -30074.7399  0.1940 
   00019    0.4483  -30246.4498  0.1976 
   00020    0.4486  -30358.3738  0.2051 
   00021    0.4454  -30554.0559  0.2274 
   00022    0.4442  -30748.0842  0.1742 
   00023    0.4432  -30906.4640  0.1730 
   00024    0.4328  -31094.8679  0.1597 
   00025    0.4412  -31140.4019  0.1669 
   00026    0.4338  -31221.6606  0.2069 
   00027    0.4318  -31449.5893  0.1615 
   00028    0.4367  -31572.8234  0.1838 
   00029    0.4284  -31684.7546  0.1848 
   00030    0.4312  -31694.3810  0.2258 
   00031    0.4319  -31733.3953  0.1929 
   00032    0.4353  -31661.3892  0.1885 
   00033    0.4356  -31675.9192  0.1548 
   00034    0.4382  -31827.6619  0.2115 
   00035    0.4381  -31748.7289  0.1720 
   00036    0.4270  -31864.5257  0.1971 
   00037    0.4370  -31989.9965  0.2131 
   00038    0.4315  -32022.1631  0.1855 
   00039    0.4381  -32018.5300  0.2204 
   00040    0.4266  -31994.3223  0.2191 
   00041    0.4335  -32038.9587  0.2364 
   00042    0.4375  -32105.9929  0.2221 
   00043    0.4334  -32123.5456  0.2335 
   00044    0.4344  -32124.9168  0.2083 
   00045    0.4312  -32114.4963  0.1862 
   00046    0.4302  -32147.6301  0.1322 
   00047    0.4364  -32167.7342  0.2055 
   00048    0.4345  -32237.3478  0.2196 
   00049    0.4273  -32321.4323  0.1819 
   00050    0.4341  -32224.8132  0.2031 
