#=====================================================
# File created:        Thu-24-Oct-2024-at-01-56-44PM
# Size of lattice:     1x1
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.001950
# Number of threads:   1
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000      -4.0000  1.1402 
   00001    1.0000      -4.0000  1.0193 
   00002    1.0000      -4.0000  1.0031 
   00003    1.0000      -4.0000  1.3736 
   00004    1.0000      -4.0000  1.0044 
   00005    1.0000      -4.0000  2.2401 
   00006    1.0000      -4.0000  2.4936 
   00007    1.0000      -4.0000  2.4928 
   00008    1.0000      -4.0000  2.4571 
   00009    1.0000      -4.0000  1.2283 
   00010    1.0000      -4.0000  1.0425 
   00011    1.0000      -4.0000  1.0030 
   00012    1.0000      -4.0000  2.2929 
   00013    1.0000      -4.0000  2.4976 
   00014    1.0000      -4.0000  2.5000 
   00015    1.0000      -4.0000  2.0704 
   00016    1.0000      -4.0000  1.0047 
   00017    1.0000      -4.0000  1.1653 
   00018    1.0000      -4.0000  1.3732 
   00019    1.0000      -4.0000  1.2539 
   00020    1.0000      -4.0000  1.0169 
   00021    1.0000      -4.0000  1.0602 
   00022    1.0000      -4.0000  1.2293 
   00023    1.0000      -4.0000  1.0691 
   00024    1.0000      -4.0000  1.0063 
   00025    1.0000      -4.0000  1.2797 
   00026    1.0000      -4.0000  1.0151 
   00027    1.0000      -4.0000  2.4858 
   00028    1.0000      -4.0000  1.1038 
   00029    1.0000      -4.0000  2.4662 
   00030    1.0000      -4.0000  2.3388 
   00031    1.0000      -4.0000  1.9880 
   00032    1.0000      -4.0000  1.0846 
   00033    1.0000      -4.0000  1.1289 
   00034    1.0000      -4.0000  1.3594 
   00035    1.0000      -4.0000  1.2082 
   00036    1.0000      -4.0000  1.3941 
   00037    1.0000      -4.0000  1.8929 
   00038    1.0000      -4.0000  2.4997 
   00039    1.0000      -4.0000  1.0012 
   00040    1.0000      -4.0000  1.1913 
   00041    1.0000      -4.0000  1.1023 
   00042    1.0000      -4.0000  1.0525 
   00043    1.0000      -4.0000  1.3694 
   00044    1.0000      -4.0000  1.2607 
   00045    1.0000      -4.0000  1.1623 
   00046    1.0000      -4.0000  1.0702 
   00047    1.0000      -4.0000  1.2057 
   00048    1.0000      -4.0000  1.3506 
   00049    1.0000      -4.0000  1.0752 
   00050    1.0000      -4.0000  1.3043 
