#=====================================================
# File created:        Thu-24-Oct-2024-at-01-57-30PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.037250
# Number of threads:   6
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -116.9721  0.3273 
   00001    0.6500    -158.0849  0.3368 
   00002    0.5600    -187.8881  0.3896 
   00003    0.5600    -210.9151  0.4415 
   00004    0.5500    -230.7929  0.4787 
   00005    0.5500    -230.4971  0.4620 
   00006    0.4600    -241.4862  0.5216 
   00007    0.5000    -255.0636  0.5013 
   00008    0.4800    -252.3732  0.5377 
   00009    0.4800    -258.6576  0.5486 
   00010    0.5600    -247.1914  0.5833 
   00011    0.5000    -263.0683  0.6232 
   00012    0.5500    -260.0746  0.6408 
   00013    0.5100    -274.8609  0.6666 
   00014    0.3700    -275.2776  0.6762 
   00015    0.4500    -286.3267  0.6837 
   00016    0.4200    -281.3404  0.6522 
   00017    0.4200    -280.0021  0.6195 
   00018    0.4500    -282.4029  0.6461 
   00019    0.4600    -295.7486  0.7131 
   00020    0.5100    -304.0550  0.7362 
   00021    0.4100    -305.4881  0.7403 
   00022    0.4300    -313.2461  0.7030 
   00023    0.4700    -311.3979  0.7386 
   00024    0.4400    -317.4266  0.7297 
   00025    0.3500    -316.8856  0.6669 
   00026    0.4000    -320.7371  0.7707 
   00027    0.4300    -321.3391  0.7218 
   00028    0.4600    -332.7325  0.7730 
   00029    0.4000    -328.3074  0.6901 
   00030    0.4500    -335.3156  0.7985 
   00031    0.5100    -338.5451  0.7982 
   00032    0.4900    -329.2457  0.7688 
   00033    0.5100    -341.2202  0.7862 
   00034    0.3900    -349.3875  0.8164 
   00035    0.3600    -339.2944  0.7402 
   00036    0.4400    -328.1673  0.7881 
   00037    0.3900    -337.9764  0.8056 
   00038    0.4900    -328.2553  0.7098 
   00039    0.4100    -327.1536  0.7606 
   00040    0.3700    -325.5324  0.8053 
   00041    0.4000    -333.1415  0.8101 
   00042    0.4900    -321.4133  0.7171 
   00043    0.4800    -319.1311  0.8220 
   00044    0.4400    -322.4104  0.8266 
   00045    0.4800    -318.0594  0.8120 
   00046    0.4200    -318.7814  0.8367 
   00047    0.3800    -323.2611  0.8333 
   00048    0.4300    -331.6366  0.8427 
   00049    0.4100    -347.5503  0.8613 
   00050    0.3700    -340.1553  0.8442 
