#=====================================================
# File created:        Thu-24-Oct-2024-at-02-10-15PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Number of threads:   1
# Run time (s):        0.002495
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -103.7809  0.3322 
   00001    0.6500    -147.2590  0.3468 
   00002    0.6300    -176.3703  0.4230 
   00003    0.6300    -199.3356  0.4719 
   00004    0.5500    -231.7449  0.5356 
   00005    0.4700    -239.5701  0.5212 
   00006    0.4600    -240.2709  0.5401 
   00007    0.5400    -239.8267  0.5554 
   00008    0.5900    -256.4552  0.6208 
   00009    0.4700    -263.5074  0.6215 
   00010    0.4600    -276.2288  0.6639 
   00011    0.4700    -290.4364  0.7224 
   00012    0.4900    -304.4232  0.7538 
   00013    0.4600    -323.8445  0.8021 
   00014    0.4700    -321.1321  0.8033 
   00015    0.4700    -329.2934  0.8096 
   00016    0.4500    -325.6249  0.8229 
   00017    0.3800    -327.4239  0.8322 
   00018    0.3300    -333.4565  0.8441 
   00019    0.4300    -336.1841  0.8520 
   00020    0.4600    -339.0293  0.8675 
   00021    0.3500    -332.0996  0.8635 
   00022    0.4000    -334.4386  0.8564 
   00023    0.3700    -344.2439  0.8751 
   00024    0.3700    -342.9554  0.8807 
   00025    0.3300    -350.1171  0.8968 
   00026    0.3600    -353.1916  0.9066 
   00027    0.3400    -352.8363  0.9095 
   00028    0.3900    -347.9804  0.8951 
   00029    0.4000    -345.0918  0.8936 
   00030    0.4800    -342.9264  0.8984 
   00031    0.3900    -353.7666  0.9120 
   00032    0.4100    -352.0611  0.9065 
   00033    0.4000    -345.0264  0.9057 
   00034    0.3800    -345.9781  0.8981 
   00035    0.4300    -330.3732  0.8751 
   00036    0.5600    -345.6287  0.8774 
   00037    0.4000    -351.5388  0.8778 
   00038    0.4500    -345.8379  0.8816 
   00039    0.4500    -339.4604  0.8735 
   00040    0.4100    -341.6326  0.8684 
   00041    0.5100    -354.9398  0.8862 
   00042    0.3900    -348.6941  0.8644 
   00043    0.4000    -346.1058  0.8777 
   00044    0.3500    -337.3174  0.8752 
   00045    0.3800    -338.5015  0.8766 
   00046    0.3700    -337.9769  0.8857 
   00047    0.4500    -335.4461  0.8822 
   00048    0.4000    -346.7366  0.9047 
   00049    0.3200    -342.2035  0.8904 
   00050    0.2900    -342.0585  0.8985 
