#=====================================================
# File created:        Thu-24-Oct-2024-at-02-10-35PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Number of threads:   12
# Run time (s):        0.066984
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -86.8967  0.3175 
   00001    0.6700    -144.7523  0.4025 
   00002    0.6800    -182.1976  0.4288 
   00003    0.5900    -207.8863  0.4585 
   00004    0.5100    -234.0350  0.4710 
   00005    0.5700    -237.3195  0.4996 
   00006    0.5200    -245.8588  0.4936 
   00007    0.5200    -252.9520  0.5126 
   00008    0.5400    -257.8943  0.4924 
   00009    0.5500    -260.6069  0.5156 
   00010    0.4600    -269.1846  0.5161 
   00011    0.5200    -267.2289  0.4824 
   00012    0.5000    -269.7397  0.5020 
   00013    0.3300    -268.4275  0.5098 
   00014    0.4600    -279.9737  0.5466 
   00015    0.4300    -288.5732  0.5413 
   00016    0.3600    -276.9307  0.5606 
   00017    0.5100    -272.8688  0.5216 
   00018    0.5100    -280.9068  0.5587 
   00019    0.6200    -292.4684  0.5313 
   00020    0.4900    -297.1468  0.5723 
   00021    0.4400    -291.8369  0.6415 
   00022    0.3900    -298.2201  0.5728 
   00023    0.4200    -295.7439  0.6531 
   00024    0.4700    -294.4845  0.6555 
   00025    0.4300    -303.4562  0.6580 
   00026    0.4800    -297.8980  0.6106 
   00027    0.5800    -293.7273  0.6398 
   00028    0.4200    -305.9022  0.6102 
   00029    0.3300    -304.8444  0.6553 
   00030    0.5000    -322.3342  0.6664 
   00031    0.4800    -335.7786  0.6942 
   00032    0.5300    -327.7478  0.6925 
   00033    0.4400    -327.3570  0.7129 
   00034    0.4400    -316.4176  0.7045 
   00035    0.4600    -312.4027  0.6894 
   00036    0.4000    -314.9924  0.7357 
   00037    0.4700    -319.5004  0.7814 
   00038    0.5000    -322.1777  0.7969 
   00039    0.3800    -311.9637  0.7137 
   00040    0.5300    -315.9623  0.7979 
   00041    0.5100    -322.5108  0.7624 
   00042    0.4800    -320.3590  0.7471 
   00043    0.4100    -330.9485  0.7714 
   00044    0.3800    -325.7409  0.7482 
   00045    0.4000    -323.4610  0.7853 
   00046    0.3800    -314.5827  0.7782 
   00047    0.4400    -314.5151  0.7675 
   00048    0.3600    -314.8200  0.7725 
   00049    0.5300    -313.9559  0.7636 
   00050    0.4100    -317.8174  0.7370 
