#=====================================================
# File created:        Thu-24-Oct-2024-at-02-10-17PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Number of threads:   1
# Run time (s):        0.076037
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10079.9429  0.2553 
   00001    0.6829  -14883.3149  0.2608 
   00002    0.6240  -17914.1135  0.2607 
   00003    0.5888  -20165.1268  0.2645 
   00004    0.5565  -21879.7857  0.2591 
   00005    0.5268  -23286.0775  0.2619 
   00006    0.5321  -24500.7751  0.2646 
   00007    0.5022  -25461.2967  0.2679 
   00008    0.4986  -26229.7668  0.2643 
   00009    0.4847  -26928.4114  0.2655 
   00010    0.4814  -27434.2400  0.2659 
   00011    0.4812  -27864.3820  0.2686 
   00012    0.4767  -28233.4085  0.2701 
   00013    0.4727  -28657.8266  0.2730 
   00014    0.4658  -28941.8564  0.2757 
   00015    0.4664  -29312.7291  0.2767 
   00016    0.4601  -29495.6510  0.2785 
   00017    0.4454  -29748.8690  0.2792 
   00018    0.4522  -30014.4028  0.2769 
   00019    0.4476  -30158.5722  0.2734 
   00020    0.4576  -30394.3377  0.2711 
   00021    0.4416  -30454.7524  0.2713 
   00022    0.4495  -30670.7826  0.2778 
   00023    0.4544  -30863.8306  0.2809 
   00024    0.4455  -31046.4845  0.2811 
   00025    0.4428  -31181.3087  0.2802 
   00026    0.4538  -31247.4819  0.2789 
   00027    0.4329  -31313.8077  0.2803 
   00028    0.4341  -31441.9229  0.2794 
   00029    0.4318  -31477.5391  0.2774 
   00030    0.4408  -31492.2996  0.2793 
   00031    0.4398  -31556.1456  0.2728 
   00032    0.4332  -31664.0525  0.2752 
   00033    0.4282  -31714.4840  0.2722 
   00034    0.4384  -31817.0256  0.2773 
   00035    0.4273  -31847.7747  0.2741 
   00036    0.4244  -31864.4408  0.2711 
   00037    0.4248  -31978.4144  0.2715 
   00038    0.4302  -32056.0185  0.2720 
   00039    0.4341  -31982.6139  0.2740 
   00040    0.4340  -32023.0088  0.2747 
   00041    0.4303  -32111.5747  0.2753 
   00042    0.4335  -32114.6946  0.2741 
   00043    0.4341  -32209.2711  0.2759 
   00044    0.4271  -32314.6188  0.2748 
   00045    0.4340  -32329.9655  0.2719 
   00046    0.4361  -32277.5424  0.2696 
   00047    0.4281  -32259.0749  0.2710 
   00048    0.4371  -32303.0233  0.2713 
   00049    0.4308  -32322.8757  0.2728 
   00050    0.4323  -32381.7017  0.2720 
