#=====================================================
# File created:        Thu-24-Oct-2024-at-01-57-45PM
# Size of lattice:     1x1
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.059282
# Number of threads:   12
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000      -4.0000  1.2455 
   00001    1.0000      -4.0000  2.5000 
   00002    1.0000      -4.0000  1.2076 
   00003    1.0000      -4.0000  1.1362 
   00004    1.0000      -4.0000  2.4351 
   00005    1.0000      -4.0000  1.3695 
   00006    1.0000      -4.0000  2.4139 
   00007    1.0000      -4.0000  2.4259 
   00008    1.0000      -4.0000  1.0497 
   00009    1.0000      -4.0000  1.2249 
   00010    1.0000      -4.0000  1.2303 
   00011    1.0000      -4.0000  2.1977 
   00012    1.0000      -4.0000  2.3815 
   00013    1.0000      -4.0000  1.0576 
   00014    1.0000      -4.0000  1.2911 
   00015    1.0000      -4.0000  1.1212 
   00016    1.0000      -4.0000  1.2613 
   00017    1.0000      -4.0000  1.8894 
   00018    1.0000      -4.0000  1.0433 
   00019    1.0000      -4.0000  1.0025 
   00020    1.0000      -4.0000  1.2788 
   00021    1.0000      -4.0000  1.1657 
   00022    1.0000      -4.0000  1.4023 
   00023    1.0000      -4.0000  1.0756 
   00024    1.0000      -4.0000  1.6046 
   00025    1.0000      -4.0000  1.0227 
   00026    1.0000      -4.0000  1.0016 
   00027    1.0000      -4.0000  1.1743 
   00028    1.0000      -4.0000  1.0393 
   00029    1.0000      -4.0000  1.3405 
   00030    1.0000      -4.0000  2.3251 
   00031    1.0000      -4.0000  2.4800 
   00032    1.0000      -4.0000  1.2357 
   00033    1.0000      -4.0000  1.7966 
   00034    1.0000      -4.0000  2.4945 
   00035    1.0000      -4.0000  2.4762 
   00036    1.0000      -4.0000  1.8559 
   00037    1.0000      -4.0000  2.4801 
   00038    1.0000      -4.0000  1.0826 
   00039    1.0000      -4.0000  1.0150 
   00040    1.0000      -4.0000  1.3609 
   00041    1.0000      -4.0000  1.3346 
   00042    1.0000      -4.0000  1.3421 
   00043    1.0000      -4.0000  1.0351 
   00044    1.0000      -4.0000  1.3700 
   00045    1.0000      -4.0000  1.0073 
   00046    1.0000      -4.0000  1.7730 
   00047    1.0000      -4.0000  1.0023 
   00048    1.0000      -4.0000  2.2247 
   00049    1.0000      -4.0000  1.2705 
   00050    1.0000      -4.0000  1.3688 
