#=====================================================
# File created:        Thu-24-Oct-2024-at-01-57-26PM
# Size of lattice:     1x1
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.030357
# Number of threads:   6
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000      -4.0000  2.4639 
   00001    1.0000      -4.0000  1.0496 
   00002    1.0000      -4.0000  1.1318 
   00003    1.0000      -4.0000  2.2743 
   00004    1.0000      -4.0000  1.0659 
   00005    1.0000      -4.0000  1.4550 
   00006    1.0000      -4.0000  2.3855 
   00007    1.0000      -4.0000  1.0476 
   00008    1.0000      -4.0000  2.4975 
   00009    1.0000      -4.0000  1.9375 
   00010    1.0000      -4.0000  2.4824 
   00011    1.0000      -4.0000  2.1884 
   00012    1.0000      -4.0000  1.4238 
   00013    1.0000      -4.0000  2.3479 
   00014    1.0000      -4.0000  2.4866 
   00015    1.0000      -4.0000  2.4571 
   00016    1.0000      -4.0000  1.0002 
   00017    1.0000      -4.0000  2.4887 
   00018    1.0000      -4.0000  2.4993 
   00019    1.0000      -4.0000  1.0001 
   00020    1.0000      -4.0000  1.2981 
   00021    1.0000      -4.0000  1.1937 
   00022    1.0000      -4.0000  1.3732 
   00023    1.0000      -4.0000  1.1183 
   00024    1.0000      -4.0000  1.2559 
   00025    1.0000      -4.0000  1.0828 
   00026    1.0000      -4.0000  1.2814 
   00027    1.0000      -4.0000  1.0124 
   00028    1.0000      -4.0000  1.1630 
   00029    1.0000      -4.0000  1.0127 
   00030    1.0000      -4.0000  1.2510 
   00031    1.0000      -4.0000  1.2419 
   00032    1.0000      -4.0000  1.2829 
   00033    1.0000      -4.0000  1.5947 
   00034    1.0000      -4.0000  1.9640 
   00035    1.0000      -4.0000  1.0802 
   00036    1.0000      -4.0000  1.1095 
   00037    1.0000      -4.0000  1.1081 
   00038    1.0000      -4.0000  1.2950 
   00039    1.0000      -4.0000  1.1575 
   00040    1.0000      -4.0000  1.0957 
   00041    1.0000      -4.0000  1.2968 
   00042    1.0000      -4.0000  1.0782 
   00043    1.0000      -4.0000  1.9897 
   00044    1.0000      -4.0000  1.0231 
   00045    1.0000      -4.0000  1.2211 
   00046    1.0000      -4.0000  1.7228 
   00047    1.0000      -4.0000  1.1832 
   00048    1.0000      -4.0000  1.1684 
   00049    1.0000      -4.0000  1.0060 
   00050    1.0000      -4.0000  1.3588 
