#=====================================================
# File created:        Thu-24-Oct-2024-at-02-10-29PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Number of threads:   6
# Run time (s):        0.055725
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10040.6555  0.1716 
   00001    0.6737  -14984.2346  0.1823 
   00002    0.6249  -18037.4444  0.1499 
   00003    0.5828  -20179.5887  0.1741 
   00004    0.5526  -21919.3483  0.1800 
   00005    0.5442  -23212.5093  0.1780 
   00006    0.5260  -24367.0201  0.1863 
   00007    0.5085  -25354.8453  0.1808 
   00008    0.5029  -26166.8899  0.1401 
   00009    0.4892  -26711.2378  0.1667 
   00010    0.4798  -27375.8925  0.1494 
   00011    0.4727  -27880.2398  0.1360 
   00012    0.4677  -28290.1090  0.1777 
   00013    0.4666  -28723.3218  0.1487 
   00014    0.4600  -28970.0885  0.1648 
   00015    0.4517  -29212.1643  0.1768 
   00016    0.4590  -29600.0199  0.1804 
   00017    0.4496  -29695.3442  0.1726 
   00018    0.4517  -29874.7394  0.1787 
   00019    0.4448  -30144.1744  0.1618 
   00020    0.4440  -30365.6402  0.1790 
   00021    0.4507  -30545.6952  0.1208 
   00022    0.4371  -30749.1847  0.1382 
   00023    0.4408  -30982.3689  0.1328 
   00024    0.4418  -30947.7977  0.1427 
   00025    0.4457  -30979.1990  0.1684 
   00026    0.4377  -31065.2789  0.1677 
   00027    0.4361  -31201.0872  0.1829 
   00028    0.4323  -31333.7019  0.1292 
   00029    0.4329  -31468.9456  0.1785 
   00030    0.4387  -31558.1792  0.1155 
   00031    0.4263  -31633.4224  0.1365 
   00032    0.4339  -31733.4560  0.1473 
   00033    0.4258  -31756.0357  0.1763 
   00034    0.4348  -31859.9284  0.2013 
   00035    0.4334  -31983.0986  0.1706 
   00036    0.4239  -32059.2630  0.1851 
   00037    0.4273  -32127.0919  0.1630 
   00038    0.4354  -32120.4681  0.1578 
   00039    0.4434  -32193.1425  0.1842 
   00040    0.4262  -32209.5599  0.1377 
   00041    0.4241  -32199.2501  0.1928 
   00042    0.4250  -32215.8766  0.1750 
   00043    0.4251  -32310.3276  0.1962 
   00044    0.4256  -32377.8264  0.1459 
   00045    0.4215  -32396.8257  0.1518 
   00046    0.4216  -32440.2521  0.1484 
   00047    0.4273  -32552.2528  0.1325 
   00048    0.4370  -32586.5764  0.1985 
   00049    0.4181  -32552.9795  0.1815 
   00050    0.4149  -32580.1790  0.2002 
